K2014-01334,"$3,119.92 
","28-310-24-16-00-0-00-000 
"
K2014-01335,"$5,545.41 
","28-310-25-02-00-0-00-000 
"
K2014-01337,"$1,567.39 
","28-310-28-24-00-0-00-000 
"
K2014-01338,"$1,489.18 
","28-310-32-05-00-0-00-000 
"
K2014-01340,"$4,076.29. 
","28-320-01-25-00-0-00-000 
"
K2014-01341,"$3,263.19 
","28-320-01-32-00-0-00-000 
"
K2014-01344,"$803.79 
","28-320-08-11-00-0-00-000 
"
K2014-0U46,"$318.71 
","28-320-10-31-01-0-00-000 
"
K2014-01347,"$288.63 
","28-320-10-31 -02-0-00-000
"
K2014-01348,"$2,579.97 
","28-320-14-22-00-0-00-000 
"
K2014-01349,"$4,082.77 
","28-320-22-37-00-0-00-000 
"
K2014-01352,"$306.69 
","28-320-26-10-00-0-00-000 
"
K2014-01354,"$4,653.24 
","28-330-02-01-00-0.-00-000 
"
K2014-01355,"$1,686.31 
"
K2014-01358,"$1,249.20 
","28-340-05- f 0-00-0-00-000 
"
K2014-01364,"$156.46 
","28-340-35-11-00-0-00-000 
"
K2014-01366,"$883.07 
","28-410-06-03-00-0-00-000 
"
K2014-01367,"$1,592.87 
","28-410-07-12-00-0-00-000 
"
K2014-01368,"$1,422.57 
","28-410-21-11-00-0-00-000 
"
K2014-01369,"$1,776.56 
","28-410-23-06-00-0-00-000 
"
